RXCUI	STR
1115966	codeine sulfate 15 mg tablet
1545976	codeine sulfate 15 mg tablet
1652891	codeine sulfate 15 mg tablet
235412	codeine sulfate 15 mg tablet
236131	codeine sulfate 15 mg tablet
236236	codeine sulfate 15 mg tablet
2670	codeine sulfate 15 mg tablet
2672	codeine sulfate 15 mg tablet
402563	codeine sulfate 15 mg tablet
91104	codeine sulfate 15 mg tablet
997170	codeine sulfate 15 mg tablet
1115966	codeine sulfate 30 mg tablet
1545976	codeine sulfate 30 mg tablet
1652891	codeine sulfate 30 mg tablet
235412	codeine sulfate 30 mg tablet
236131	codeine sulfate 30 mg tablet
236236	codeine sulfate 30 mg tablet
2670	codeine sulfate 30 mg tablet
2672	codeine sulfate 30 mg tablet
402563	codeine sulfate 30 mg tablet
91104	codeine sulfate 30 mg tablet
997287	codeine sulfate 30 mg tablet
203177	HYDROmorphone 2 mg tablet
224913	HYDROmorphone 2 mg tablet
3423	HYDROmorphone 2 mg tablet
897696	HYDROmorphone 2 mg tablet
897698	HYDROmorphone 2 mg tablet
203177	HYDROmorphone 4 mg tablet
224913	HYDROmorphone 4 mg tablet
3423	HYDROmorphone 4 mg tablet
897702	HYDROmorphone 4 mg tablet
897704	HYDROmorphone 4 mg tablet
142436	fentaNYL (PF) 50 mcg/mL injection solution
1487612	fentaNYL (PF) 50 mcg/mL injection solution
1652097	fentaNYL (PF) 50 mcg/mL injection solution
1735003	fentaNYL (PF) 50 mcg/mL injection solution
1735004	fentaNYL (PF) 50 mcg/mL injection solution
1735006	fentaNYL (PF) 50 mcg/mL injection solution
1735007	fentaNYL (PF) 50 mcg/mL injection solution
1735008	fentaNYL (PF) 50 mcg/mL injection solution
1735013	fentaNYL (PF) 50 mcg/mL injection solution
1735057	fentaNYL (PF) 50 mcg/mL injection solution
1735058	fentaNYL (PF) 50 mcg/mL injection solution
1735060	fentaNYL (PF) 50 mcg/mL injection solution
1735062	fentaNYL (PF) 50 mcg/mL injection solution
1735065	fentaNYL (PF) 50 mcg/mL injection solution
206977	fentaNYL (PF) 50 mcg/mL injection solution
2168270	fentaNYL (PF) 50 mcg/mL injection solution
260325	fentaNYL (PF) 50 mcg/mL injection solution
4336	fentaNYL (PF) 50 mcg/mL injection solution
4337	fentaNYL (PF) 50 mcg/mL injection solution
142439	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
