106505	Meptazinol (as meptazinol hydrochloride) 200 mg oral tablet
106505	meptazinol 200 MG Oral Tablet
106505	Product containing precisely meptazinol (as meptazinol hydrochloride) 200 milligram/1 each conventional release oral tablet (clinical drug)
1151928	acetaminophen / propoxyphene Pill
1153234	aspirin / caffeine / propoxyphene Pill
1160981	meptazinol Injectable Product
1160981	Meptazinol-containing product in parenteral dose form
1160981	Product containing meptazinol in parenteral dose form (medicinal product form)
1160982	meptazinol Oral Product
1160982	Meptazinol-containing product in oral dose form
1160982	Product containing meptazinol in oral dose form (medicinal product form)
1160983	meptazinol Pill
1162933	propoxyphene Pill
1175508	Alfenta Injectable Product
1723217	alfentanil Injection [Alfenta]
250879	dextromoramide 5 MG Oral Tablet
250879	Product containing precisely dextromoramide 5 milligram/1 each conventional release oral tablet (clinical drug)
250880	dextromoramide 10 MG Oral Tablet
250880	Product containing precisely dextromoramide 10 milligram/1 each conventional release oral tablet (clinical drug)
251210	Meptazinol (as meptazinol hydrochloride) 100 mg/mL solution for injection
251210	meptazinol 100 MG/ML Injectable Solution
251210	Product containing precisely meptazinol (as meptazinol hydrochloride) 100 milligram/1 milliliter conventional release solution for injection (clinical drug)
