RXCUI	STR	VOTES	Wasz	Shankar	Andy
1151928	acetaminophen / propoxyphene Pill				1
1153234	aspirin / caffeine / propoxyphene Pill				1
1162933	propoxyphene Pill				1
2001359	Apadaz				1
2001362	Apadaz Oral Product				1
2001363	Apadaz Pill				1
221134	Laudanum				1
221134	Laudanum (substance)				1
221134	opium tincture				1
221134	Tincture of opium				1
314517	Belladonna Leaf				0
314517	belladonna leaf extract				0
315263	acetaminophen 325 MG				0
689541	aspirin / propoxyphene				1
689541	ASPIRIN/PROPOXYPHENE				1
7676	Opio				1
7676	Opium				1
7676	opium (anthroposophic)				1
7676	Opium (substance)				1
7676	Opium-containing product				1
7676	Papaver somniferum exudate				1
7676	Papaver somniferum resin				1
7676	Product containing opium (medicinal product)				1
827747	propoxyphene napsylate 100 MG				1
828580	propoxyphene hydrochloride 65 MG				1
828584	propoxyphene hydrochloride 32 MG				1
849292	propoxyphene hydrochloride 32.5 MG				1
849294	propoxyphene napsylate 50 MG				1
