RXCUI	STR	VOTES	Wasz	Shankar	Andy
1014599	acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet	2	1		1
1014599	Acetaminophen 300 mg and oxycodone hydrochloride 10 mg oral tablet	2	1		1
1014599	acetaminophen-oxycodone 300 mg-10 mg oral tablet	2	1		1
1014599	Acetaminophen-Oxycodone Hydrochloride, 300 mg-10 mg oral tablet	2	1		1
1014599	Acetaminophen/Oxycodone Hydrochloride 300 MG-10 MG Oral Tablet	2	1		1
1014599	APAP 300 MG / oxycodone hydrochloride 10 MG Oral Tablet	2	1		1
1014599	OXYCODONE 10MG/ACETAMINOPHEN 300MG TAB	2	1		1
1014599	oxyCODONE HCl 10 MG / acetaminophen 300 MG Oral Tablet	2	1		1
1014599	OXYCODONE HCL 10MG/ACETAMINOPHEN 300MG TAB	2	1		1
1014599	oxycodone HCl/acetaminophen 10 mg-300 mg ORAL TABLET	2	1		1
1014599	oxycodone HCl/acetaminophen@10 mg-300 mg@ORAL@TABLET	2	1		1
1014599	OXYCODONE HYDROCHLORIDE 10 mg / ACETAMINOPHEN 300 mg ORAL TABLET [oxycodone and acetaminophen]	2	1		1
1014599	Oxycodone hydrochloride 10 mg and paracetamol 300 mg oral tablet	2	1		1
1014599	Oxycodone Hydrochloride 10mg, Acetaminophen 300mg Oral tablet	2	1		1
1014599	Product containing precisely oxycodone hydrochloride 10 milligram and paracetamol 300 milligram/1 each conventional release oral tablet (clinical drug)	2	1		1
1014615	acetaminophen 300 MG / oxycodone hydrochloride 5 MG Oral Tablet	1	1		
1014615	Acetaminophen 300 mg and oxycodone hydrochloride 5 mg oral tablet	1	1		
1014615	acetaminophen-oxycodone 300 mg-5 mg oral tablet	1	1		
1014615	Acetaminophen-Oxycodone Hydrochloride, 300 mg-5 mg oral tablet	1	1		
1014615	Acetaminophen/Oxycodone Hydrochloride 300 MG-5 MG Oral Tablet	1	1		
1014615	APAP 300 MG / oxycodone 5 MG Oral Tablet	1	1		
1014615	APAP 300 MG / Oxycodone Hydrochloride 5 MG Oral Tablet	1	1		
1014615	oxyCODONE HCl 5 MG / acetaminophen 300 MG Oral Tablet	1	1		
1014615	OXYCODONE HCL 5/ACETAMINOPHEN 300MG TAB	1	1		
1014615	OXYCODONE HCL 5MG/ACETAMINOPHEN 300MG TAB	1	1		
1014615	oxycodone HCl/acetaminophen 5 mg-300 mg ORAL TABLET	1	1		
1014615	oxycodone HCl/acetaminophen@5 mg-300 mg@ORAL@TABLET	1	1		
1014615	OXYCODONE HYDROCHLORIDE 5 mg / ACETAMINOPHEN 300 mg ORAL TABLET [oxycodone and acetaminophen]	1	1		
1014615	Oxycodone hydrochloride 5 mg and paracetamol 300 mg oral tablet	1	1		
1014615	Oxycodone Hydrochloride 5mg, Acetaminophen 300mg Oral tablet	1	1		
1014615	Product containing precisely oxycodone hydrochloride 5 milligram and paracetamol 300 milligram/1 each conventional release oral tablet (clinical drug)	1	1		
1014632	acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tablet	1	1		
1014632	Acetaminophen 300 mg and oxycodone hydrochloride 7.5 mg oral tablet	1	1		
1014632	acetaminophen-oxycodone 300 mg-7.5 mg oral tablet	1	1		
1014632	Acetaminophen-Oxycodone Hydrochloride, 300 mg-7.5 mg oral tablet	1	1		
1014632	Acetaminophen/Oxycodone Hydrochloride 300 MG-7.5 MG Oral Tablet	1	1		
1014632	APAP 300 MG / Oxycodone Hydrochloride 7.5 MG Oral Tablet	1	1		
1014632	OXYCODONE 7.5MG/ACETAMINOPHEN 300MG TAB	1	1		
1014632	oxyCODONE HCl 7.5 MG / acetaminophen 300 MG Oral Tablet	1	1		
1014632	OXYCODONE HCL 7.5MG/ACETAMINOPHEN 300MG TAB	1	1		
1014632	oxycodone HCl/acetaminophen 7.5 mg-300 mg ORAL TABLET	1	1		
1014632	oxycodone HCl/acetaminophen@7.5 mg-300 mg@ORAL@TABLET	1	1		
1014632	OXYCODONE HYDROCHLORIDE 7.5 mg / ACETAMINOPHEN 300 mg ORAL TABLET	1	1		
1014632	Oxycodone hydrochloride 7.5 mg and paracetamol 300 mg oral tablet	1	1		
1014632	Oxycodone Hydrochloride 7.5mg, Acetaminophen 300mg Oral tablet	1	1		
1014632	Product containing precisely oxycodone hydrochloride 7.5 milligram and paracetamol 300 milligram/1 each conventional release oral tablet (clinical drug)	1	1		
1037259	acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tablet	1	1		
1037259	Acetaminophen 300 mg and oxycodone hydrochloride 2.5 mg oral tablet	1	1		
1037259	acetaminophen-oxycodone 300 mg-2.5 mg oral tablet	1	1		
1037259	Acetaminophen-Oxycodone Hydrochloride, 300 mg-2.5 mg oral tablet	1	1		
1037259	Acetaminophen/Oxycodone Hydrochloride 300 MG-2.5 MG Oral Tablet	1	1		
1037259	APAP 300 MG / Oxycodone Hydrochloride 2.5 MG Oral Tablet	1	1		
1037259	oxyCODONE HCl 2.5 MG / acetaminophen 300 MG Oral Tablet	1	1		
1037259	OXYCODONE HCL 2.5/ACETAMINOPHN 300MG TAB	1	1		
1037259	OXYCODONE HCL 2.5MG/ACETAMINOPHEN 300MG TAB	1	1		
1037259	oxycodone HCl/acetaminophen 2.5 mg-300 mg ORAL TABLET	1	1		
1037259	oxycodone HCl/acetaminophen@2.5 mg-300 mg@ORAL@TABLET	1	1		
1037259	OXYCODONE HYDROCHLORIDE 2.5 mg / ACETAMINOPHEN 300 mg ORAL TABLET	1	1		
1037259	Oxycodone hydrochloride 2.5 mg and paracetamol 300 mg oral tablet	1	1		
1037259	Oxycodone Hydrochloride 2.5mg, Acetaminophen 300mg Oral tablet	1	1		
1037259	Product containing precisely oxycodone hydrochloride 2.5 milligram and paracetamol 300 milligram/1 each conventional release oral tablet (clinical drug)	1	1		
1044427	acetaminophen 20 MG/ML / hydrocodone bitartrate 0.667 MG/ML Oral Solution	2	1		1
1044427	acetaminophen-hydrocodone 300 mg-10 mg/15 mL oral liquid	2	1		1
1044427	Acetaminophen/Hydrocodone Bitartrate 300 MG/15 ML-10 MG/15 ML Oral Elixir	2	1		1
1044427	APAP 20 MG/ML / Hydrocodone Bitartrate 0.667 MG/ML Oral Solution	2	1		1
1044427	APAP 300 MG / hydrocodone bitartrate 10 MG per 15 ML Oral Solution	2	1		1
1044427	HYDROCODONE 10MG/ACETAMINOPHEN 300MG/15ML ELIXIR	2	1		1
1044427	HYDROCODONE 10MG/APAP 300MG/15ML ELIXIR	2	1		1
1044427	HYDROcodone bitartrate 10 MG / acetaminophen 300 MG in 15 mL Oral Solution	2	1		1
1044427	HYDROCODONE BITARTRATE 10 mg in 15 mL / ACETAMINOPHEN 300 mg in 15 mL ORAL SOLUTION	2	1		1
1044427	hydrocodone bitartrate/acetaminophen 10 mg-300 mg/15 mL ORAL SOLUTION, ORAL	2	1		1
1044427	hydrocodone bitartrate/acetaminophen@10 mg-300 mg/15 mL@ORAL@SOLUTION, ORAL	2	1		1
1044427	hydrocodone/acetaminophen 10 mg-300 mg/15 mL ORAL SOLUTION, ORAL	2	1		1
1049214	ACETAMINOPHEN 325 mg / OXYCODONE HYDROCHLORIDE 10 mg ORAL TABLET	1	1		
1049214	Acetaminophen 325 mg and oxycodone hydrochloride 10 mg oral tablet	1	1		
1049214	acetaminophen-oxycodone 325 mg-10 mg oral tablet	1	1		
1049214	Acetaminophen-Oxycodone Hydrochloride, 325 mg-10 mg oral tablet	1	1		
1049214	Acetaminophen/Oxycodone Hydrochloride 325 MG-10 MG Oral Tablet	1	1		
1049214	Acetaminophen/Oxycodone Hydrochloride 325 MG-10 MG Oral Tablet [OXYCODONE HCL-ACETAMINOPHEN]	1	1		
1049214	APAP 325 MG / oxycodone hydrochloride 10 MG Oral Tablet	1	1		
1049214	oxyCODONE 10 MG / acetaminophen 325 MG Oral Tablet	1	1		
1049214	OXYCODONE 10MG/ACETAMINOPHEN 325MG TAB	1	1		
1049214	OXYCODONE HCL 10MG/ACETAMINOPHEN 325MG TAB	1	1		
1049214	oxycodone HCl/acetaminophen 10 mg-325 mg ORAL TABLET	1	1		
1049214	oxycodone HCl/acetaminophen@10 mg-325 mg@ORAL@TABLET	1	1		
1049214	OXYCODONE HYDROCHLORIDE 10 mg / ACETAMINOPHEN 325 mg ORAL TABLET	1	1		
1049214	OXYCODONE HYDROCHLORIDE 10 mg / ACETAMINOPHEN 325 mg ORAL TABLET [OXYCODONE AND ACETAMINOPHEN]	1	1		
1049214	Oxycodone hydrochloride 10 mg and paracetamol 325 mg oral tablet	1	1		
1049214	Oxycodone Hydrochloride 10mg, Acetaminophen 325mg Oral tablet	1	1		
1049214	Product containing precisely oxycodone hydrochloride 10 milligram and paracetamol 325 milligram/1 each conventional release oral tablet (clinical drug)	1	1		
1049216	acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tablet [Endocet]	1	1		
1049216	Acetaminophen/Oxycodone Hydrochloride 325 MG-10 MG Oral Tablet [ENDOCET]	1	1		
1049216	APAP 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Endocet]	1	1		
1049216	ENDOCET 10 MG / 325 MG Oral Tablet	1	1		
1049216	Endocet 10/325 (oxycodone HCl / APAP) Oral Tablet	1	1		
1049216	Endocet 10/325 Oral Tablet	1	1		
1049216	Endocet 10/325, 325 mg-10 mg oral tablet	1	1		
1049216	Endocet 10mg-325mg Tablet	1	1		
1049216	OXYCODONE HYDROCHLORIDE 10 mg / ACETAMINOPHEN 325 mg ORAL TABLET [ENDOCET]	1	1		
1049221	acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet	1	1		
1049221	Acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet	1	1		
1049221	acetaminophen-oxycodone 325 mg-5 mg oral tablet	1	1		
1049221	Acetaminophen-Oxycodone Hydrochloride, 325 mg-5 mg oral tablet	1	1		
1049221	Acetaminophen/Oxycodone Hydrochloride 325 MG-5 MG Oral Tablet	1	1		
1049221	Acetaminophen/Oxycodone Hydrochloride 325 MG-5 MG Oral Tablet [OXYCODONE HCL-ACETAMINOPHEN]	1	1		
1049221	APAP 325 MG / oxycodone hydrochloride 5 MG Oral Tablet	1	1		
1049221	OXYCODONE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET	1	1		
1049221	OXYCODONE HCL 5/ACETAMINOPHEN 325MG TAB	1	1		
1049221	OXYCODONE HCL 5MG/ACETAMINOPHEN 325MG TAB	1	1		
1049221	oxycodone HCl/acetaminophen 5 mg-325 mg ORAL TABLET	1	1		
1049221	oxycodone HCl/acetaminophen@5 mg-325 mg@ORAL@TABLET	1	1		
1049221	OXYCODONE HYDROCHLORIDE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET	1	1		
1049221	OXYCODONE HYDROCHLORIDE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET [OXYCODONE AND ACETAMINOPHEN]	1	1		
1049221	Oxycodone hydrochloride 5 mg and paracetamol 325 mg oral tablet	1	1		
1049221	Oxycodone Hydrochloride 5mg, Acetaminophen 325mg Oral tablet	1	1		
1049221	Product containing precisely oxycodone hydrochloride 5 milligram and paracetamol 325 milligram/1 each conventional release oral tablet (clinical drug)	1	1		
1049223	acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet [Endocet]	1	1		
1049223	Acetaminophen/Oxycodone Hydrochloride 325 MG-5 MG Oral Tablet [ENDOCET]	1	1		
1049223	APAP 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet [Endocet]	1	1		
1049223	ENDOCET 5 MG / 325 MG Oral Tablet	1	1		
1049223	Endocet 5/325 (oxycodone HCl / APAP) Oral Tablet	1	1		
1049223	Endocet 5/325 Oral Tablet	1	1		
1049223	Endocet 5/325, 325 mg-5 mg oral tablet	1	1		
1049223	Endocet 5mg-325mg Tablet	1	1		
1049223	Endocet, 325 mg-5 mg oral tablet	1	1		
1049223	OXYCODONE HYDROCHLORIDE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET [ENDOCET]	1	1		
1049225	acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet	1	1		
1049225	Acetaminophen 325 mg and oxycodone hydrochloride 7.5 mg oral tablet	1	1		
1049225	acetaminophen-oxycodone 325 mg-7.5 mg oral tablet	1	1		
1049225	Acetaminophen-Oxycodone Hydrochloride, 325 mg-7.5 mg oral tablet	1	1		
1049225	Acetaminophen/Oxycodone Hydrochloride 325 MG-7.5 MG Oral Tablet	1	1		
1049225	Acetaminophen/Oxycodone Hydrochloride 325 MG-7.5 MG Oral Tablet [OXYCODONE HCL-ACETAMINOPHEN]	1	1		
1049225	Acetaminophen/Oxycodone Hydrochloride 325 MG-7.5 MG Oral Tablet, Extended Release	1	1		
1049225	APAP 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet	1	1		
1049225	oxyCODONE 7.5 MG / acetaminophen 325 MG Oral Tablet	1	1		
1049225	OXYCODONE 7.5MG/ACETAMINOPHEN 325MG TAB	1	1		
1049225	OXYCODONE HCL 7.5MG/ACETAMINOPHEN 325MG TAB	1	1		
1049225	oxycodone HCl/acetaminophen 7.5 mg-325 mg ORAL TABLET	1	1		
1049225	oxycodone HCl/acetaminophen@7.5 mg-325 mg@ORAL@TABLET	1	1		
1049225	OXYCODONE HYDROCHLORIDE 7.5 mg / ACETAMINOPHEN 325 mg ORAL TABLET	1	1		
1049225	OXYCODONE HYDROCHLORIDE 7.5 mg / ACETAMINOPHEN 325 mg ORAL TABLET [OXYCODONE AND ACETAMINOPHEN]	1	1		
1049225	Oxycodone hydrochloride 7.5 mg and paracetamol 325 mg oral tablet	1	1		
1049225	Oxycodone Hydrochloride 7.5mg, Acetaminophen 325mg Oral tablet	1	1		
1049225	Product containing precisely oxycodone hydrochloride 7.5 milligram and paracetamol 325 milligram/1 each conventional release oral tablet (clinical drug)	1	1		
1049227	acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Endocet]	1	1		
1049227	Acetaminophen/Oxycodone Hydrochloride 325 MG-7.5 MG Oral Tablet [ENDOCET]	1	1		
1049227	APAP 325 MG / Oxycodone Hydrochloride 7.5 MG Oral Tablet [Endocet]	1	1		
1049227	ENDOCET 7.5 MG / 325 MG Oral Tablet	1	1		
1049227	Endocet 7.5/325 (oxycodone HCl / APAP) Oral Tablet	1	1		
1049227	Endocet 7.5/325 Oral Tablet	1	1		
1049227	Endocet 7.5/325, 325 mg-7.5 mg oral tablet	1	1		
1049227	Endocet 7.5mg-325mg Tablet	1	1		
1049227	OXYCODONE HYDROCHLORIDE 7.5 mg / ACETAMINOPHEN 325 mg ORAL TABLET [ENDOCET]	1	1		
1049233	acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG Oral Tablet	1	1		
1049233	Acetaminophen 500 mg and oxycodone hydrochloride 7.5 mg oral tablet	1	1		
1049233	acetaminophen-oxycodone 500 mg-7.5 mg oral tablet	1	1		
1049233	Acetaminophen-Oxycodone Hydrochloride, 500 mg-7.5 mg oral tablet	1	1		
1049233	Acetaminophen/Oxycodone Hydrochloride 500 MG-7.5 MG Oral Tablet	1	1		
1049233	Acetaminophen/Oxycodone Hydrochloride 500 MG-7.5 MG Oral Tablet [OXYCODONE HCL-ACETAMINOPHEN]	1	1		
1049233	APAP 500 MG / oxycodone hydrochloride 7.5 MG Oral Tablet	1	1		
1049233	oxyCODONE 7.5 MG / acetaminophen 500 MG Oral Tablet	1	1		
1049233	OXYCODONE 7.5MG/ACETAMINOPHEN 500MG TAB	1	1		
1049233	OXYCODONE HCL 7.5MG/ACETAMINOPHEN 500MG TAB	1	1		
1049233	oxycodone HCl/acetaminophen 7.5 mg-500 mg ORAL TABLET	1	1		
1049233	oxycodone HCl/acetaminophen@7.5 mg-500 mg@ORAL@TABLET	1	1		
1049233	OXYCODONE HYDROCHLORIDE 7.5 mg / ACETAMINOPHEN 500 mg ORAL TABLET [OXYCODONE AND ACETAMINOPHEN]	1	1		
1049233	Oxycodone hydrochloride 7.5 mg and paracetamol 500 mg oral tablet	1	1		
1049233	Oxycodone Hydrochloride 7.5mg, Acetaminophen 500mg Oral tablet	1	1		
1049233	Product containing precisely oxycodone hydrochloride 7.5 milligram and paracetamol 500 milligram/1 each conventional release oral tablet (clinical drug)	1	1		
1049251	acetaminophen 400 MG / oxycodone hydrochloride 10 MG Oral Tablet	1	1		
1049251	acetaminophen-oxycodone 400 mg-10 mg oral tablet	1	1		
1049251	Acetaminophen/Oxycodone Hydrochloride 400 MG-10 MG Oral Tablet	1	1		
1049251	APAP 400 MG / Oxycodone Hydrochloride 10 MG Oral Tablet	1	1		
1049251	OXYCODONE 10MG/ACETAMINOPHEN 400MG TAB	1	1		
1049251	oxyCODONE HCl 10 MG / acetaminophen 400 MG Oral Tablet	1	1		
1049251	OXYCODONE HCL 10MG/ACETAMINOPHEN 400MG TAB	1	1		
1049251	oxycodone HCl/acetaminophen 10 mg-400 mg ORAL TABLET	1	1		
1049251	oxycodone HCl/acetaminophen@10 mg-400 mg@ORAL@TABLET	1	1		
1049260	acetaminophen 400 MG / oxycodone hydrochloride 5 MG Oral Tablet	1	1		
1049260	acetaminophen-oxycodone 400 mg-5 mg oral tablet	1	1		
1049260	Acetaminophen/Oxycodone Hydrochloride 400 MG-5 MG Oral Tablet	1	1		
1049260	APAP 400 MG / Oxycodone Hydrochloride 5 MG Oral Tablet	1	1		
1049260	oxyCODONE HCl 5 MG / acetaminophen 400 MG Oral Tablet	1	1		
1049260	OXYCODONE HCL 5/ACETAMINOPHEN 400MG TAB	1	1		
1049260	OXYCODONE HCL 5MG/ACETAMINOPHEN 400MG TAB	1	1		
1049260	oxycodone HCl/acetaminophen 5 mg-400 mg ORAL TABLET	1	1		
1049260	oxycodone HCl/acetaminophen@5 mg-400 mg@ORAL@TABLET	1	1		
1049267	acetaminophen 400 MG / oxycodone hydrochloride 7.5 MG Oral Tablet	1	1		
1049267	Acetaminophen 400 mg and oxycodone hydrochloride 7.5 mg oral tablet	1	1		
1049267	acetaminophen-oxycodone 400 mg-7.5 mg oral tablet	1	1		
1049267	Acetaminophen/Oxycodone Hydrochloride 400 MG-7.5 MG Oral Tablet	1	1		
1049267	APAP 400 MG / Oxycodone Hydrochloride 7.5 MG Oral Tablet	1	1		
1049267	oxyCODONE 7.5 MG / acetaminophen 400 MG Oral Tablet	1	1		
1049267	OXYCODONE HCL 7.5MG/ACETAMINOPHEN 400MG TAB	1	1		
1049267	OXYCODONE HCL 7.5MG/APAP 400MG TAB	1	1		
1049267	oxycodone HCl/acetaminophen 7.5 mg-400 mg ORAL TABLET	1	1		
1049267	oxycodone HCl/acetaminophen@7.5 mg-400 mg@ORAL@TABLET	1	1		
1049267	Oxycodone hydrochloride 7.5 mg and paracetamol 400 mg oral tablet	1	1		
1049267	Product containing precisely oxycodone hydrochloride 7.5 milligram and paracetamol 400 milligram/1 each conventional release oral tablet (clinical drug)	1	1		
1049270	acetaminophen 650 MG / oxycodone hydrochloride 10 MG Oral Tablet	1	1		
1049270	Acetaminophen 650 mg and oxycodone hydrochloride 10 mg oral tablet	1	1		
1049270	acetaminophen-oxycodone 650 mg-10 mg oral tablet	1	1		
1049270	Acetaminophen-Oxycodone Hydrochloride, 650 mg-10 mg oral tablet	1	1		
1049270	Acetaminophen/Oxycodone Hydrochloride 650 MG-10 MG Oral Tablet	1	1		
1049270	Acetaminophen/Oxycodone Hydrochloride 650 MG-10 MG Oral Tablet [OXYCODONE HCL-ACETAMINOPHEN]	1	1		
1049270	APAP 650 MG / oxycodone hydrochloride 10 MG Oral Tablet	1	1		
1049270	OXYCODONE 10MG/ACETAMINOPHEN 650MG TAB	1	1		
1049270	oxyCODONE HCl 10 MG / acetaminophen 650 MG Oral Tablet	1	1		
1049270	OXYCODONE HCL 10MG/ACETAMINOPHEN 650MG TAB	1	1		
1049270	oxycodone HCl/acetaminophen 10 mg-650 mg ORAL TABLET	1	1		
1049270	oxycodone HCl/acetaminophen@10 mg-650 mg@ORAL@TABLET	1	1		
1049270	OXYCODONE HYDROCHLORIDE 10 mg / ACETAMINOPHEN 650 mg ORAL TABLET [OXYCODONE AND ACETAMINOPHEN]	1	1		
1049270	Oxycodone hydrochloride 10 mg and paracetamol 650 mg oral tablet	1	1		
1049270	Oxycodone Hydrochloride 10mg, Acetaminophen 650mg Oral tablet	1	1		
1049270	Product containing precisely oxycodone hydrochloride 10 milligram and paracetamol 650 milligram/1 each conventional release oral tablet (clinical drug)	1	1		
1049580	acetaminophen 65 MG/ML / oxycodone hydrochloride 1 MG/ML Oral Solution	1	1		
1049580	acetaminophen-oxycodone 325 mg-5 mg/5 mL oral solution	1	1		
1049580	Acetaminophen-Oxycodone Hydrochloride, 325 mg-5 mg/5 mL oral solution	1	1		
1049580	Acetaminophen/Oxycodone Hydrochloride 325 MG/5 ML-5 MG/5 ML Oral Solution	1	1		
1049580	APAP 325 MG / oxycodone hydrochloride 5 MG per 5 ML Oral Solution	1	1		
1049580	APAP 65 MG/ML / Oxycodone Hydrochloride 1 MG/ML Oral Solution	1	1		
1049580	OXYCODONE 5/ACETAMINOPHEN 325MG/5ML LIQ	1	1		
1049580	oxyCODONE HCl 5 MG / acetaminophen 325 MG in 5 mL Oral Solution	1	1		
