RXCUI	STR	VOTES	Wasz	Shankar	Andy	Comments 
1000290	Codahistine-DH Elixir	-1	-1			Not in UMLS
1002270	Morphine Sulfate ADD-Vantage	-1	-1			Not in UMLS
1002291	Zodryl AC Adult	-1	-1			Not in UMLS
1008330	normethadone / oxilofrine	1	1			MISSED
1008889	codeine/pheniramine/phenylephrine/Na citrate	-1	-1			Not in UMLS
1012880	CARBINOXAMINE 2/PSEUDEFED 25MG/5ML SYRUP	0	0			
1012880	carbinoxamine maleate 0.4 MG/ML / pseudoephedrine hydrochloride 5 MG/ML Oral Solution	0	0			
1012880	carbinoxamine maleate 2 MG / pseudoephedrine hydrochloride 25 MG per 5 ML Oral Solution	0	0			
1012880	Carbinoxamine Maleate 2mg/5mL, Pseudoephedrine Hydrochloride 25mg/5mL Oral syrup	0	0			
1012880	CARBINOXAMINE MALEATE 2MG/PSEUDOEPHEDRINE 25MG/5ML SYRUP,ORAL	0	0			
1012880	carbinoxamine maleate/pseudoephedrine HCl 2 mg-25 mg/5 mL ORAL SYRUP	0	0			
1012880	carbinoxamine maleate/pseudoephedrine HCl@2 mg-25 mg/5 mL@ORAL@SYRUP	0	0			
1012880	Carbinoxamine Maleate/Pseudoephedrine Hydrochloride 2 MG/5 ML-25 MG/5 ML Oral Solution	0	0			
1012880	Carbinoxamine Maleate/Pseudoephedrine Hydrochloride 2 MG/5 ML-25 MG/5 ML Oral Solution [CARBINOXAMINE/PSEUDOEPHEDRINE]	0	0			
1012880	Carbinoxamine Maleate/Pseudoephedrine Hydrochloride 2 MG/5 ML-25 MG/5 ML Oral Solution [COLDEC DS]	0	0			
1012880	Carbinoxamine Maleate/Pseudoephedrine Hydrochloride 2 MG/5 ML-25 MG/5 ML Oral Solution [HYDRO-TUSSIN CBX]	0	0			
1012880	Carbinoxamine Maleate/Pseudoephedrine Hydrochloride 2 MG/5 ML-25 MG/5 ML Oral Syrup	0	0			
1012880	Carbinoxamine Maleate/Pseudoephedrine Hydrochloride 2 MG/5 ML-25 MG/5 ML Oral Syrup [CARBINOXAMINE PSE]	0	0			
1012880	Carbinoxamine Maleate/Pseudoephedrine Hydrochloride 2 MG/5 ML-25 MG/5 ML Oral Syrup [PALGIC DS]	0	0			
1012880	carbinoxamine-pseudoephedrine 2 mg-25 mg/5 mL oral liquid	0	0			
1012880	carbinoxamine-pseudoephedrine 2 mg-25 mg/5 mL ORAL SYRUP	0	0			
1012880	Carbinoxamine-Pseudoephedrine, 2 mg-25 mg/5 mL oral liquid	0	0			
1012880	Hydro-Tussin CBX 2mg-25mg/5ml Syrup	0	0			
1012880	Hydro-Tussin CBX, 2 mg-25 mg/5 mL oral liquid	0	0			
1012880	Palgic D 2mg-25mg/5ml Syrup	0	0			
1012880	Palgic DS 2mg-25mg/5ml Syrup	0	0			
1012880	Palgic-DS, 2 mg-25 mg/5 mL oral liquid	0	0			
1012938	carbinoxamine maleate 0.4 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Solution	0	0			
