RXCUI	STR	VOTES	Wasz	Shankar	Andy
106505	Meptazinol (as meptazinol hydrochloride) 200 mg oral tablet	1			1
106505	meptazinol 200 MG Oral Tablet	1			1
106505	Product containing precisely meptazinol (as meptazinol hydrochloride) 200 milligram/1 each conventional release oral tablet (clinical drug)	1			1
106507	Hyoscine hydrobromide 400 microgram/mL and papaveretum 15.4 mg/mL solution for injection	1			1
106507	papaveretum 15.4 MG/ML / scopolamine 0.4 MG/ML Injectable Solution	1			1
106507	Papaveretum 15.4 mg/mL and scopolamine hydrobromide 400 microgram/mL solution for injection	1			1
106507	Product containing precisely papaveretum 15.4 milligram/1 milliliter and scopolamine hydrobromide 400 microgram/1 milliliter conventional release solution for injection (clinical drug)	1			1
1190568	ATROPINE 0.025/DIPHENOXYLATE 2.5MG/5ML	1			1
1190568	ATROPINE SO4 0.025MG/DIPHENOXYLATE HCL 2.5MG/5ML LIQUID	1			1
1190568	Atropine SO4-Diphenoxylate HCl, 0.025 mg-2.5 mg/5 mL oral liquid	1			1
1190568	atropine sulfate 0.005 MG/ML / diphenoxylate hydrochloride 0.5 MG/ML Oral Solution	1			1
1190568	atropine sulfate 0.025 MG / diphenoxylate HCl 2.5 MG in 5 mL Oral Solution	1			1
1190568	atropine sulfate 0.025 MG / diphenoxylate HCl 2.5 MG per 5 ML Oral Solution	1			1
1190568	Atropine Sulfate/Diphenoxylate Hydrochloride 0.025 MG/5 ML-2.5 MG/5 ML Oral Solution	1			1
1190568	Atropine Sulfate/Diphenoxylate Hydrochloride 0.025 MG/5 ML-2.5 MG/5 ML Oral Solution [DIPHENOXYLATE HCL-ATROPINE SULFATE]	1			1
1190568	atropine-diphenoxylate 0.025 mg-2.5 mg/5 mL oral liquid	1			1
1190568	diphenoxylate HCl/atropine 2.5 mg-0.025 mg/5 mL ORAL LIQUID (ML)	1			1
1190568	diphenoxylate HCl/atropine sulfate 2.5 mg-0.025 mg/5 mL ORAL LIQUID (ML)	1			1
1190568	diphenoxylate HCl/atropine sulfate@2.5 mg-0.025 mg/5 mL@ORAL@LIQUID (ML)	1			1
1190568	DIPHENOXYLATE HYDROCHLORIDE 2.5 mg in 5 mL / ATROPINE SULFATE 0.025 mg in 5 mL ORAL SOLUTION	1			1
1190568	Diphenoxylate Hydrochloride 2.5mg/5mL, Atropine Sulfate 0.025mg/5mL Oral solution	1			1
1190572	ATROPINE 0.025/DIPHENOXYLATE 2.5MG TAB	1			1
1190572	ATROPINE 0.025/DIPHENOXYLT 2.5MG TAB UD	0			
1190572	ATROPINE SO4 0.025MG/DIPHENOXYLATE HCL 2.5MG TAB	1			1
1190572	ATROPINE SO4 0.025MG/DIPHENOXYLATE HCL 2.5MG TAB,UD	1			1
1190572	Atropine SO4-Diphenoxylate HCl, 0.025 mg-2.5 mg oral tablet	1			1
1190572	atropine sulfate 0.025 MG / diphenoxylate hydrochloride 2.5 MG Oral Tablet	1			1
1190572	Atropine sulfate 25 microgram and diphenoxylate hydrochloride 2.5 mg oral tablet	1			1
1190572	Atropine Sulfate/Diphenoxylate Hydrochloride 0.025 MG-2.5 MG Oral Tablet	1			1
1190572	Atropine Sulfate/Diphenoxylate Hydrochloride 0.025 MG-2.5 MG Oral Tablet [DI-ATRO]	1			1
1190572	Atropine Sulfate/Diphenoxylate Hydrochloride 0.025 MG-2.5 MG Oral Tablet [DIPHENOX/ATROPINE]	1			1
1190572	Atropine Sulfate/Diphenoxylate Hydrochloride 0.025 MG-2.5 MG Oral Tablet [DIPHENOXYLATE HCL W/ATROPINE]	1			1
1190572	Atropine Sulfate/Diphenoxylate Hydrochloride 0.025 MG-2.5 MG Oral Tablet [DIPHENOXYLATE HCL-ATROPINE SULFATE]	1			1
1190572	Atropine Sulfate/Diphenoxylate Hydrochloride 0.025 MG-2.5 MG Oral Tablet [LONOX]	1			1
1190572	Atropine Sulfate/Diphenoxylate Hydrochloride 0.025 MG-2.5 MG Oral Tablet [NOR-MIL]	1			1
1190572	Atropine Sulfate/Diphenoxylate Hydrochloride 0.025 MG-2.5 MG Oral Tablet [UNI-LOM]	1			1
